Date,Open,High,Low,Close,Adj Close**,Volume
2020-01-06,136.31,144.33,136.08,144.30,144.30,"9,093,747,121"
2020-01-07,144.31,145.00,140.49,143.54,143.54,"9,257,954,672"
2020-01-08,143.49,146.83,138.27,141.26,141.26,"9,387,194,957"
2020-01-09,141.16,141.39,136.24,138.98,138.98,"7,697,325,348"
2020-01-10,138.97,144.17,135.52,143.96,143.96,"9,084,816,203"
2020-01-11,143.41,146.48,142.21,142.93,142.93,"9,332,208,590"
2020-01-12,143.03,146.15,142.71,145.87,145.87,"8,528,167,453"
2020-01-13,146.22,146.79,142.91,144.23,144.23,"8,378,529,470"
2020-01-14,144.25,167.68,144.06,165.96,165.96,"16,712,318,373"
2020-01-15,165.73,170.43,161.11,166.23,166.23,"15,173,694,057"
2020-01-16,166.33,167.06,159.71,164.39,164.39,"13,735,193,018"
2020-01-17,164.49,173.07,162.78,170.78,170.78,"14,997,091,826"
2020-01-18,170.75,178.53,166.79,175.37,175.37,"14,929,342,256"
2020-01-19,175.47,177.25,163.68,166.97,166.97,"13,713,374,132"
2020-01-20,166.90,169.11,162.33,167.12,167.12,"11,144,529,787"
2020-01-21,167.06,169.91,165.82,169.70,169.70,"9,789,369,362"
2020-01-22,169.61,171.01,166.77,168.29,168.29,"9,209,827,928"
2020-01-23,168.30,168.31,160.30,162.93,162.93,"10,396,868,698"
2020-01-24,162.90,164.31,156.75,163.05,163.05,"10,657,671,162"
2020-01-25,163.07,163.23,158.63,161.28,161.28,"8,256,956,802"
2020-01-26,161.18,168.22,160.28,168.08,168.08,"9,261,861,590"
2020-01-27,168.01,172.92,166.90,170.93,170.93,"11,004,476,145"
2020-01-28,170.88,176.37,170.74,176.37,176.37,"11,772,875,064"
2020-01-29,176.35,178.84,175.05,175.05,175.05,"10,725,267,311"
2020-01-30,174.92,186.26,172.37,184.69,184.69,"12,604,789,338"
2020-01-31,184.74,185.41,176.30,180.16,180.16,"11,728,616,394"
2020-02-01,180.11,183.85,179.75,183.67,183.67,"11,569,697,182"
2020-02-02,183.53,193.08,180.17,188.62,188.62,"14,054,425,389"
2020-02-03,188.61,193.44,188.01,189.87,189.87,"12,392,875,241"
2020-02-04,189.86,191.11,185.40,189.25,189.25,"11,714,191,695"
2020-02-05,189.30,206.80,188.75,204.23,204.23,"14,865,434,435"
2020-02-06,204.13,214.60,201.90,212.34,212.34,"16,425,589,683"
2020-02-07,212.32,223.14,212.30,222.73,222.73,"16,673,443,564"
2020-02-08,222.51,226.59,215.39,223.15,223.15,"16,741,203,125"
2020-02-09,222.98,229.86,222.98,228.58,228.58,"15,031,356,241"
2020-02-10,228.55,229.18,218.08,223.52,223.52,"16,210,008,511"
2020-02-11,223.38,236.55,218.62,235.85,235.85,"16,964,695,963"
2020-02-12,235.90,272.40,235.90,265.41,265.41,"24,545,049,386"
2020-02-13,265.05,273.74,258.92,268.10,268.10,"25,801,317,504"
2020-02-14,268.02,285.06,262.76,284.22,284.22,"23,558,253,463"
2020-02-15,284.56,287.12,264.28,264.73,264.73,"23,682,452,994"
2020-02-16,264.90,272.88,242.48,259.89,259.89,"25,152,366,643"
2020-02-17,259.89,266.87,244.34,266.36,266.36,"26,024,080,089"
2020-02-18,266.51,283.20,261.46,281.94,281.94,"26,511,477,187"
2020-02-19,282.04,283.54,259.76,259.76,259.76,"22,679,414,413"
2020-02-20,259.82,263.70,250.95,257.95,257.95,"23,229,828,870"
2020-02-21,257.89,267.00,255.69,265.60,265.60,"20,867,593,292"
2020-02-22,265.55,266.39,258.91,262.33,262.33,"16,906,032,862"
2020-02-23,262.28,273.75,261.96,273.75,273.75,"19,585,998,814"
2020-02-24,273.71,275.54,259.63,265.22,265.22,"22,400,845,640"
2020-02-25,265.28,265.43,246.86,247.82,247.82,"21,878,882,134"
2020-02-26,247.74,249.65,221.27,225.68,225.68,"26,235,617,201"
2020-02-27,225.69,237.23,212.66,226.75,226.75,"25,645,522,790"
2020-02-28,226.99,234.21,216.35,226.76,226.76,"22,563,530,559"
2020-02-29,226.83,232.26,219.85,219.85,219.85,"18,181,296,376"
2020-03-01,219.75,226.68,214.13,218.97,218.97,"18,179,807,469"
2020-03-02,218.71,232.81,217.28,230.57,230.57,"20,305,587,789"
2020-03-03,230.52,232.33,221.73,224.48,224.48,"19,853,178,572"
2020-03-04,224.57,228.04,222.09,224.52,224.52,"16,567,075,208"
2020-03-05,224.64,234.36,224.64,229.27,229.27,"18,201,291,785"
2020-03-06,229.17,243.55,228.74,243.53,243.53,"19,374,772,256"
2020-03-07,243.75,249.98,237.55,237.85,237.85,"19,431,652,027"
2020-03-08,237.78,237.78,200.60,200.69,200.69,"21,381,823,651"
2020-03-09,201.32,207.45,192.27,201.99,201.99,"23,645,428,606"
2020-03-10,202.86,205.71,198.06,200.77,200.77,"18,344,930,072"
2020-03-11,200.77,202.95,184.36,194.87,194.87,"16,984,790,291"
2020-03-12,194.74,195.15,111.21,112.35,112.35,"22,134,741,655"
2020-03-13,112.69,137.43,95.18,133.20,133.20,"27,864,623,061"
2020-03-14,133.58,134.48,122.41,123.31,123.31,"12,740,784,545"
2020-03-15,123.25,132.24,121.85,125.21,125.21,"12,719,251,813"
2020-03-16,125.00,125.00,105.17,110.61,110.61,"15,984,904,590"
2020-03-17,110.41,118.99,110.41,113.94,113.94,"12,087,490,572"
2020-03-18,113.86,116.02,111.74,114.84,114.84,"11,617,854,009"
2020-03-19,114.84,140.53,114.73,136.59,136.59,"16,396,753,275"
2020-03-20,136.65,150.85,122.61,132.74,132.74,"18,960,388,062"
2020-03-21,133.10,135.97,127.16,132.82,132.82,"13,684,083,308"
2020-03-22,132.85,136.15,122.91,123.32,123.32,"12,497,707,224"
2020-03-23,123.37,134.91,121.87,134.91,134.91,"14,149,877,968"
2020-03-24,135.19,141.95,133.17,138.76,138.76,"14,609,068,673"
2020-03-25,138.91,141.40,134.30,136.20,136.20,"13,433,092,920"
2020-03-26,136.19,138.83,134.89,138.36,138.36,"11,367,261,176"
2020-03-27,138.37,139.90,133.94,133.94,133.94,"11,396,286,629"
2020-03-28,134.03,134.03,126.96,130.99,130.99,"12,162,403,960"
2020-03-29,131.02,131.17,125.45,125.58,125.58,"9,938,133,669"
2020-03-30,125.58,133.91,125.29,132.90,132.90,"11,841,123,306"
